[Node],name,node_id,QEM_reference_node_id,control_type,node_type,control_type_name,x,y,geometry,instruction,capacity,cost,,,,,
,,1,0,0,1,0,61.671,71.431,"<Point><coordinates>61.671000,71.431000</coordinates></Point>",,0,0,,,,,
,,2,0,0,1,0,60.451,70.882,"<Point><coordinates>60.451000,70.882000</coordinates></Point>",,0,0,,,,,
,,3,0,0,1,0,62.22,69.113,"<Point><coordinates>62.220000,69.113000</coordinates></Point>",,0,0,,,,,
,,4,0,0,1,0,60.939,68.198,"<Point><coordinates>60.939000,68.198000</coordinates></Point>",,0,0,,,,,
,,5,0,0,1,0,62.83,66.063,"<Point><coordinates>62.830000,66.063000</coordinates></Point>",,0,0,,,,,
,,6,0,0,1,0,58.194,69.967,"<Point><coordinates>58.194000,69.967000</coordinates></Point>",,0,0,,,,,
,,7,0,0,1,0,59.109,67.954,"<Point><coordinates>59.109000,67.954000</coordinates></Point>",,0,0,,,,,
,,8,0,0,1,0,55.327,69.784,"<Point><coordinates>55.327000,69.784000</coordinates></Point>",,0,0,,,,,
,,9,0,0,1,0,54.168,67.161,"<Point><coordinates>54.168000,67.161000</coordinates></Point>",,0,0,,,,,
,,10,0,0,1,0,57.157,66.49,"<Point><coordinates>57.157000,66.490000</coordinates></Point>",,0,0,,,,,
,,11,0,0,1,0,57.279,63.623,"<Point><coordinates>57.279000,63.623000</coordinates></Point>",,0,0,,,,,
,,12,0,0,1,0,59.109,63.989,"<Point><coordinates>59.109000,63.989000</coordinates></Point>",,0,0,,,,,
,,13,0,0,1,0,59.414,61.976,"<Point><coordinates>59.414000,61.976000</coordinates></Point>",,0,0,,,,,
,,14,0,0,1,0,59.719,65.88,"<Point><coordinates>59.719000,65.880000</coordinates></Point>",,0,0,,,,,
,,15,0,0,1,0,61.427,64.111,"<Point><coordinates>61.427000,64.111000</coordinates></Point>",,0,0,,,,,
,,16,0,0,1,0,62.037,62.22,"<Point><coordinates>62.037000,62.220000</coordinates></Point>",,0,0,,,,,
,,17,0,0,1,0,63.623,63.989,"<Point><coordinates>63.623000,63.989000</coordinates></Point>",,0,0,,,,,
,,18,0,0,1,0,63.989,62.525,"<Point><coordinates>63.989000,62.525000</coordinates></Point>",,0,0,,,,,
,,19,0,0,1,0,64.233,61.061,"<Point><coordinates>64.233000,61.061000</coordinates></Point>",,0,0,,,,,
,,20,0,0,1,0,59.536,59.841,"<Point><coordinates>59.536000,59.841000</coordinates></Point>",,0,0,,,,,
,,21,0,0,1,0,61.915,60.756,"<Point><coordinates>61.915000,60.756000</coordinates></Point>",,0,0,,,,,
,,22,0,0,1,0,64.416,59.536,"<Point><coordinates>64.416000,59.536000</coordinates></Point>",,0,0,,,,,
,,23,0,0,1,0,62.342,58.682,"<Point><coordinates>62.342000,58.682000</coordinates></Point>",,0,0,,,,,
,,24,0,0,1,0,59.719,58.377,"<Point><coordinates>59.719000,58.377000</coordinates></Point>",,0,0,,,,,
,,25,0,0,1,0,56.852,56.364,"<Point><coordinates>56.852000,56.364000</coordinates></Point>",,0,0,,,,,
,,26,0,0,1,0,59.902,55.876,"<Point><coordinates>59.902000,55.876000</coordinates></Point>",,0,0,,,,,
,,27,0,0,1,0,62.525,55.632,"<Point><coordinates>62.525000,55.632000</coordinates></Point>",,0,0,,,,,
,,28,0,0,1,0,64.843,57.523,"<Point><coordinates>64.843000,57.523000</coordinates></Point>",,0,0,,,,,
,,29,0,0,1,0,65.453,54.656,"<Point><coordinates>65.453000,54.656000</coordinates></Point>",,0,0,,,,,
,,30,0,0,1,0,59.841,53.497,"<Point><coordinates>59.841000,53.497000</coordinates></Point>",,0,0,,,,,
,,31,0,0,1,0,62.769,52.704,"<Point><coordinates>62.769000,52.704000</coordinates></Point>",,0,0,,,,,
,,32,0,0,1,0,61.549,50.508,"<Point><coordinates>61.549000,50.508000</coordinates></Point>",,0,0,,,,,
,,33,0,0,1,0,64.477,48.556,"<Point><coordinates>64.477000,48.556000</coordinates></Point>",,0,0,,,,,
,,34,0,0,1,0,64.538,51.118,"<Point><coordinates>64.538000,51.118000</coordinates></Point>",,0,0,,,,,
